PassengerId,Pclass,Ticket,Fare,Cabin,Embarked,Survived
1,3,A/5 21171,7.25,,S,0
2,1,PC 17599,71.2833,C85,C,1
3,3,STON/O2. 3101282,7.925,,S,1
4,1,113803,53.1,C123,S,1
5,3,373450,8.05,,S,0
6,3,330877,8.4583,,Q,0
7,1,17463,51.8625,E46,S,0
8,3,349909,21.075,,S,0
9,3,347742,11.1333,,S,1
10,2,237736,30.0708,,C,1
11,3,PP 9549,16.7,G6,S,1
12,1,113783,26.55,C103,S,1
13,3,A/5. 2151,8.05,,S,0
14,3,347082,31.275,,S,0
15,3,350406,7.8542,,S,0
16,2,248706,16,,S,1
17,3,382652,29.125,,Q,0
18,2,244373,13,,S,1
19,3,345763,18,,S,0
20,3,2649,7.225,,C,1
21,2,239865,26,,S,0
22,2,248698,13,D56,S,1
23,3,330923,8.0292,,Q,1
24,1,113788,35.5,A6,S,1
25,3,349909,21.075,,S,0
26,3,347077,31.3875,,S,1
27,3,2631,7.225,,C,0
28,1,19950,263,C23 C25 C27,S,0
29,3,330959,7.8792,,Q,1
30,3,349216,7.8958,,S,0
31,1,PC 17601,27.7208,,C,0
32,1,PC 17569,146.5208,B78,C,1
33,3,335677,7.75,,Q,1
34,2,C.A. 24579,10.5,,S,0
35,1,PC 17604,82.1708,,C,0
36,1,113789,52,,S,0
37,3,2677,7.2292,,C,1
38,3,A./5. 2152,8.05,,S,0
39,3,345764,18,,S,0
40,3,2651,11.2417,,C,1
41,3,7546,9.475,,S,0
42,2,11668,21,,S,0
43,3,349253,7.8958,,C,0
44,2,SC/Paris 2123,41.5792,,C,1
45,3,330958,7.8792,,Q,1
46,3,S.C./A.4. 23567,8.05,,S,0
47,3,370371,15.5,,Q,0
48,3,14311,7.75,,Q,1
49,3,2662,21.6792,,C,0
50,3,349237,17.8,,S,0
51,3,3101295,39.6875,,S,0
52,3,A/4. 39886,7.8,,S,0
53,1,PC 17572,76.7292,D33,C,1
54,2,2926,26,,S,1
55,1,113509,61.9792,B30,C,0
56,1,19947,35.5,C52,S,1
57,2,C.A. 31026,10.5,,S,1
58,3,2697,7.2292,,C,0
59,2,C.A. 34651,27.75,,S,1
60,3,CA 2144,46.9,,S,0
61,3,2669,7.2292,,C,0
62,1,113572,80,B28,,1
63,1,36973,83.475,C83,S,0
64,3,347088,27.9,,S,0
65,1,PC 17605,27.7208,,C,0
66,3,2661,15.2458,,C,1
67,2,C.A. 29395,10.5,F33,S,1
68,3,S.P. 3464,8.1583,,S,0
69,3,3101281,7.925,,S,1
70,3,315151,8.6625,,S,0
71,2,C.A. 33111,10.5,,S,0
72,3,CA 2144,46.9,,S,0
73,2,S.O.C. 14879,73.5,,S,0
74,3,2680,14.4542,,C,0
75,3,1601,56.4958,,S,1
76,3,348123,7.65,F G73,S,0
77,3,349208,7.8958,,S,0
78,3,374746,8.05,,S,0
79,2,248738,29,,S,1
80,3,364516,12.475,,S,1
81,3,345767,9,,S,0
82,3,345779,9.5,,S,1
83,3,330932,7.7875,,Q,1
84,1,113059,47.1,,S,0
85,2,SO/C 14885,10.5,,S,1
86,3,3101278,15.85,,S,1
87,3,W./C. 6608,34.375,,S,0
88,3,SOTON/OQ 392086,8.05,,S,0
89,1,19950,263,C23 C25 C27,S,1
90,3,343275,8.05,,S,0
91,3,343276,8.05,,S,0
92,3,347466,7.8542,,S,0
93,1,W.E.P. 5734,61.175,E31,S,0
94,3,C.A. 2315,20.575,,S,0
95,3,364500,7.25,,S,0
96,3,374910,8.05,,S,0
97,1,PC 17754,34.6542,A5,C,0
98,1,PC 17759,63.3583,D10 D12,C,1
99,2,231919,23,,S,1
100,2,244367,26,,S,0
101,3,349245,7.8958,,S,0
102,3,349215,7.8958,,S,0
103,1,35281,77.2875,D26,S,0
104,3,7540,8.6542,,S,0
105,3,3101276,7.925,,S,0
106,3,349207,7.8958,,S,0
107,3,343120,7.65,,S,1
108,3,312991,7.775,,S,1
109,3,349249,7.8958,,S,0
110,3,371110,24.15,,Q,1
111,1,110465,52,C110,S,0
112,3,2665,14.4542,,C,0
113,3,324669,8.05,,S,0
114,3,4136,9.825,,S,0
115,3,2627,14.4583,,C,0
116,3,STON/O 2. 3101294,7.925,,S,0
117,3,370369,7.75,,Q,0
118,2,11668,21,,S,0
119,1,PC 17558,247.5208,B58 B60,C,0
120,3,347082,31.275,,S,0
121,2,S.O.C. 14879,73.5,,S,0
122,3,A4. 54510,8.05,,S,0
123,2,237736,30.0708,,C,0
124,2,27267,13,E101,S,1
125,1,35281,77.2875,D26,S,0
126,3,2651,11.2417,,C,1
127,3,370372,7.75,,Q,0
128,3,C 17369,7.1417,,S,1
129,3,2668,22.3583,F E69,C,1
130,3,347061,6.975,,S,0
131,3,349241,7.8958,,C,0
132,3,SOTON/O.Q. 3101307,7.05,,S,0
133,3,A/5. 3337,14.5,,S,0
134,2,228414,26,,S,1
135,2,C.A. 29178,13,,S,0
136,2,SC/PARIS 2133,15.0458,,C,0
137,1,11752,26.2833,D47,S,1
138,1,113803,53.1,C123,S,0
139,3,7534,9.2167,,S,0
140,1,PC 17593,79.2,B86,C,0
141,3,2678,15.2458,,C,0
142,3,347081,7.75,,S,1
143,3,STON/O2. 3101279,15.85,,S,1
144,3,365222,6.75,,Q,0
145,2,231945,11.5,,S,0
146,2,C.A. 33112,36.75,,S,0
147,3,350043,7.7958,,S,1
148,3,W./C. 6608,34.375,,S,0
149,2,230080,26,F2,S,0
150,2,244310,13,,S,0
151,2,S.O.P. 1166,12.525,,S,0
152,1,113776,66.6,C2,S,1
153,3,A.5. 11206,8.05,,S,0
154,3,A/5. 851,14.5,,S,0
155,3,Fa 265302,7.3125,,S,0
156,1,PC 17597,61.3792,,C,0
157,3,35851,7.7333,,Q,1
158,3,SOTON/OQ 392090,8.05,,S,0
159,3,315037,8.6625,,S,0
160,3,CA. 2343,69.55,,S,0
161,3,371362,16.1,,S,0
162,2,C.A. 33595,15.75,,S,1
163,3,347068,7.775,,S,0
164,3,315093,8.6625,,S,0
165,3,3101295,39.6875,,S,0
166,3,363291,20.525,,S,1
167,1,113505,55,E33,S,1
168,3,347088,27.9,,S,0
169,1,PC 17318,25.925,,S,0
170,3,1601,56.4958,,S,0
171,1,111240,33.5,B19,S,0
172,3,382652,29.125,,Q,0
173,3,347742,11.1333,,S,1
174,3,STON/O 2. 3101280,7.925,,S,0
175,1,17764,30.6958,A7,C,0
176,3,350404,7.8542,,S,0
177,3,4133,25.4667,,S,0
178,1,PC 17595,28.7125,C49,C,0
179,2,250653,13,,S,0
180,3,LINE,0,,S,0
181,3,CA. 2343,69.55,,S,0
182,2,SC/PARIS 2131,15.05,,C,0
183,3,347077,31.3875,,S,0
184,2,230136,39,F4,S,1
185,3,315153,22.025,,S,1
186,1,113767,50,A32,S,0
187,3,370365,15.5,,Q,1
188,1,111428,26.55,,S,1
189,3,364849,15.5,,Q,0
190,3,349247,7.8958,,S,0
191,2,234604,13,,S,1
192,2,28424,13,,S,0
193,3,350046,7.8542,,S,1
194,2,230080,26,F2,S,1
195,1,PC 17610,27.7208,B4,C,1
196,1,PC 17569,146.5208,B80,C,1
197,3,368703,7.75,,Q,0
198,3,4579,8.4042,,S,0
199,3,370370,7.75,,Q,1
200,2,248747,13,,S,0
201,3,345770,9.5,,S,0
202,3,CA. 2343,69.55,,S,0
203,3,3101264,6.4958,,S,0
204,3,2628,7.225,,C,0
205,3,A/5 3540,8.05,,S,1
206,3,347054,10.4625,G6,S,0
207,3,3101278,15.85,,S,0
208,3,2699,18.7875,,C,1
209,3,367231,7.75,,Q,1
210,1,112277,31,A31,C,1
211,3,SOTON/O.Q. 3101311,7.05,,S,0
212,2,F.C.C. 13528,21,,S,1
213,3,A/5 21174,7.25,,S,0
214,2,250646,13,,S,0
215,3,367229,7.75,,Q,0
216,1,35273,113.275,D36,C,1
217,3,STON/O2. 3101283,7.925,,S,1
218,2,243847,27,,S,0
219,1,11813,76.2917,D15,C,1
220,2,W/C 14208,10.5,,S,0
221,3,SOTON/OQ 392089,8.05,,S,1
222,2,220367,13,,S,0
223,3,21440,8.05,,S,0
224,3,349234,7.8958,,S,0
225,1,19943,90,C93,S,1
226,3,PP 4348,9.35,,S,0
227,2,SW/PP 751,10.5,,S,1
228,3,A/5 21173,7.25,,S,0
229,2,236171,13,,S,0
230,3,4133,25.4667,,S,0
231,1,36973,83.475,C83,S,1
232,3,347067,7.775,,S,0
233,2,237442,13.5,,S,0
234,3,347077,31.3875,,S,1
235,2,C.A. 29566,10.5,,S,0
236,3,W./C. 6609,7.55,,S,0
237,2,26707,26,,S,0
238,2,C.A. 31921,26.25,,S,1
239,2,28665,10.5,,S,0
240,2,SCO/W 1585,12.275,,S,0
241,3,2665,14.4542,,C,0
242,3,367230,15.5,,Q,1
243,2,W./C. 14263,10.5,,S,0
244,3,STON/O 2. 3101275,7.125,,S,0
245,3,2694,7.225,,C,0
246,1,19928,90,C78,Q,0
247,3,347071,7.775,,S,0
248,2,250649,14.5,,S,1
249,1,11751,52.5542,D35,S,1
250,2,244252,26,,S,0
251,3,362316,7.25,,S,0
252,3,347054,10.4625,G6,S,0
253,1,113514,26.55,C87,S,0
254,3,A/5. 3336,16.1,,S,0
255,3,370129,20.2125,,S,0
256,3,2650,15.2458,,C,1
257,1,PC 17585,79.2,,C,1
258,1,110152,86.5,B77,S,1
259,1,PC 17755,512.3292,,C,1
260,2,230433,26,,S,1
261,3,384461,7.75,,Q,0
262,3,347077,31.3875,,S,1
263,1,110413,79.65,E67,S,0
264,1,112059,0,B94,S,0
265,3,382649,7.75,,Q,0
266,2,C.A. 17248,10.5,,S,0
267,3,3101295,39.6875,,S,0
268,3,347083,7.775,,S,1
269,1,PC 17582,153.4625,C125,S,1
270,1,PC 17760,135.6333,C99,S,1
271,1,113798,31,,S,0
272,3,LINE,0,,S,1
273,2,250644,19.5,,S,1
274,1,PC 17596,29.7,C118,C,0
275,3,370375,7.75,,Q,1
276,1,13502,77.9583,D7,S,1
277,3,347073,7.75,,S,0
278,2,239853,0,,S,0
279,3,382652,29.125,,Q,0
280,3,C.A. 2673,20.25,,S,1
281,3,336439,7.75,,Q,0
282,3,347464,7.8542,,S,0
283,3,345778,9.5,,S,0
284,3,A/5. 10482,8.05,,S,1
285,1,113056,26,A19,S,0
286,3,349239,8.6625,,C,0
287,3,345774,9.5,,S,1
288,3,349206,7.8958,,S,0
289,2,237798,13,,S,1
290,3,370373,7.75,,Q,1
291,1,19877,78.85,,S,1
292,1,11967,91.0792,B49,C,1
293,2,SC/Paris 2163,12.875,D,C,0
294,3,349236,8.85,,S,0
295,3,349233,7.8958,,S,0
296,1,PC 17612,27.7208,,C,0
297,3,2693,7.2292,,C,0
298,1,113781,151.55,C22 C26,S,0
